id,name,code,icon_url
AL,Alabama,AL,https://raw.githubusercontent.com/SnpM/us-state-flags-svg/master/flags/Flag_of_Alabama.svg
AK,Alaska,AK,https://raw.githubusercontent.com/SnpM/us-state-flags-svg/master/flags/Flag_of_Alaska.svg
AZ,Arizona,AZ,https://raw.githubusercontent.com/SnpM/us-state-flags-svg/master/flags/Flag_of_Arizona.svg
AR,Arkansas,AR,https://raw.githubusercontent.com/SnpM/us-state-flags-svg/master/flags/Flag_of_Arkansas.svg
CA,California,CA,https://raw.githubusercontent.com/SnpM/us-state-flags-svg/master/flags/Flag_of_California.svg
CO,Colorado,CO,https://raw.githubusercontent.com/SnpM/us-state-flags-svg/master/flags/Flag_of_Colorado_designed_by_Andrew_Carlisle_Carson.svg
CT,Connecticut,CT,https://raw.githubusercontent.com/SnpM/us-state-flags-svg/master/flags/Flag_of_Connecticut.svg
DE,Delaware,DE,https://raw.githubusercontent.com/SnpM/us-state-flags-svg/master/flags/Flag_of_Delaware.svg
FL,Florida,FL,https://raw.githubusercontent.com/SnpM/us-state-flags-svg/master/flags/Flag_of_Florida.svg
GA,Georgia,GA,https://raw.githubusercontent.com/SnpM/us-state-flags-svg/master/flags/Flag_of_Georgia_(U.S._state).svg
HI,Hawaii,HI,https://raw.githubusercontent.com/SnpM/us-state-flags-svg/master/flags/Flag_of_Hawaii.svg
ID,Idaho,ID,https://raw.githubusercontent.com/SnpM/us-state-flags-svg/master/flags/Flag_of_Idaho.svg
IL,Illinois,IL,https://raw.githubusercontent.com/SnpM/us-state-flags-svg/master/flags/Flag_of_Illinois.svg
IN,Indiana,IN,https://raw.githubusercontent.com/SnpM/us-state-flags-svg/master/flags/Flag_of_Indiana.svg
IA,Iowa,IA,https://raw.githubusercontent.com/SnpM/us-state-flags-svg/master/flags/Flag_of_Iowa.svg
KS,Kansas,KS,https://raw.githubusercontent.com/SnpM/us-state-flags-svg/master/flags/Flag_of_Kansas.svg
KY,Kentucky,KY,https://raw.githubusercontent.com/SnpM/us-state-flags-svg/master/flags/Flag_of_Kentucky.svg
