id,name,city,state,latitude,longitude,league,stadium,stadium_capacity,joined_year,head_coach,team_url,wikipedia_url,logo_url
atlanta-united,Atlanta United FC,Atlanta,Georgia,33.75555556,-84.4,MLS,Mercedes-Benz Stadium,42500,2017,Rob Valentino,https://www.atlutd.com/,https://en.wikipedia.org/wiki/Atlanta_United_FC,https://shdrojejslhgnojzkzak.supabase.co/storage/v1/object/public/public/major-league-github/team-logos/atlanta-united.png
austin-fc,Austin FC,Austin,Texas,30.3877,-97.7195,MLS,Q2 Stadium,20738,2021,Josh Wolff,https://www.austinfc.com/,https://en.wikipedia.org/wiki/Austin_FC,https://shdrojejslhgnojzkzak.supabase.co/storage/v1/object/public/public/major-league-github/team-logos/austin-fc.png
cf-montreal,CF Montréal,Montreal,Quebec,45.56305556,-73.5525,MLS,Saputo Stadium,19619,2012,Laurent Courtois,https://www.cfmontreal.com/,https://en.wikipedia.org/wiki/CF_Montr%C3%A9al,https://shdrojejslhgnojzkzak.supabase.co/storage/v1/object/public/public/major-league-github/team-logos/cf-montreal.png
charlotte-fc,Charlotte FC,Charlotte,North Carolina,35.22583333,-80.85277778,MLS,Bank of America Stadium,38000,2022,Dean Smith,https://www.charlottefootballclub.com/,https://en.wikipedia.org/wiki/Charlotte_FC,https://shdrojejslhgnojzkzak.supabase.co/storage/v1/object/public/public/major-league-github/team-logos/charlotte-fc.png
chicago-fire,Chicago Fire FC,Chicago,Illinois,41.8623,-87.6167,MLS,Soldier Field,24995,1998,Frank Klopas,https://www.chicagofirefc.com/,https://en.wikipedia.org/wiki/Chicago_Fire_FC,https://shdrojejslhgnojzkzak.supabase.co/storage/v1/object/public/public/major-league-github/team-logos/chicago-fire.png
colorado-rapids,Colorado Rapids,Commerce City,Colorado,39.80555556,-104.89194444,MLS,Dick's Sporting Goods Park,18061,1996,Chris Armas,https://www.coloradorapids.com/,https://en.wikipedia.org/wiki/Colorado_Rapids,https://shdrojejslhgnojzkzak.supabase.co/storage/v1/object/public/public/major-league-github/team-logos/colorado-rapids.png
columbus-crew,Columbus Crew,Columbus,Ohio,39.96846111,-83.01708889,MLS,Lower.com Field,20371,1996,Wilfried Nancy,http://columbuscrew.com/,https://en.wikipedia.org/wiki/Columbus_Crew,https://shdrojejslhgnojzkzak.supabase.co/storage/v1/object/public/public/major-league-github/team-logos/columbus-crew.png
dc-united,D.C. United,Washington,D.C.,38.868411,-77.012869,MLS,Audi Field,20000,1996,Troy Lesesne,https://www.dcunited.com/,https://en.wikipedia.org/wiki/D.C._United,https://shdrojejslhgnojzkzak.supabase.co/storage/v1/object/public/public/major-league-github/team-logos/dc-united.png
fc-cincinnati,FC Cincinnati,Cincinnati,Ohio,39.11138889,-84.52222222,MLS,TQL Stadium,26000,2019,Pat Noonan,https://www.fccincinnati.com/,https://en.wikipedia.org/wiki/FC_Cincinnati,https://shdrojejslhgnojzkzak.supabase.co/storage/v1/object/public/public/major-league-github/team-logos/fc-cincinnati.png
fc-dallas,FC Dallas,Frisco,Texas,33.15444444,-96.83527778,MLS,Toyota Stadium,19096,1996,Peter Luccin,https://www.fcdallas.com/,https://en.wikipedia.org/wiki/FC_Dallas,https://shdrojejslhgnojzkzak.supabase.co/storage/v1/object/public/public/major-league-github/team-logos/fc-dallas.png
